Unnamed: 0,b'SEEG GLA1',b'SEEG GLA2',b'SEEG GLA3',b'SEEG GLA4',b'SEEG GLA5',b'SEEG GLA6',b'SEEG GLA7',b'SEEG GLA8',b'SEEG GLB1',b'SEEG GLB2',b'SEEG GLB3',b'SEEG GLB4',b'SEEG GLB5',b'SEEG GLB6',b'SEEG GLB7',b'SEEG GLB8',b'SEEG GLC1',b'SEEG GLC2',b'SEEG GLC3',b'SEEG GLC4',b'SEEG GLC5',b'SEEG GLC6',b'SEEG GLC7',b'SEEG GLC8',b'SEEG GLD1',b'SEEG GLD2',b'SEEG GLD3',b'SEEG GLD4',b'SEEG GLD5',b'SEEG GLD6',b'SEEG GLD7',b'SEEG GLD8',b'SEEG GLE1',b'SEEG GLE2',b'SEEG GLE3',b'SEEG GLE4',b'SEEG GLE5',b'SEEG GLE6',b'SEEG GLE7',b'SEEG GLE8',b'SEEG GLF1',b'SEEG GLF2',b'SEEG GLF3',b'SEEG GLF4',b'SEEG GLF5',b'SEEG GLF6',b'SEEG GLF7',b'SEEG GLF8',b'SEEG GLG1',b'SEEG GLG2',b'SEEG GLG3',b'SEEG GLG4',b'SEEG GLG5',b'SEEG GLG6',b'SEEG GLG7',b'SEEG GLG8',b'SEEG GLH1',b'SEEG GLH2',b'SEEG GLH3',b'SEEG GLH4',b'SEEG GLH5',b'SEEG GLH6',b'SEEG GLH7',b'SEEG GLH8',b'SEEG ILa1',b'SEEG ILa2',b'SEEG ILa3',b'SEEG ILa4',b'SEEG ILb1',b'SEEG ILb2',b'SEEG ILb3',b'SEEG ILb4',b'SEEG ILc1',b'SEEG ILc2',b'SEEG ILc3',b'SEEG ILc4'
43056,-38.20226813441007,38.23214767852719,-78.40874954007234,2.203555412721171,-91.5382585201064,-110.0153646599172,-139.5153099578472,-124.92353894181772,-136.1992725808625,-75.01524761368115,-113.877477441963,-101.03486054534665,-108.35681876507373,-68.24786763820403,-82.77231945205008,-165.28414913898754,-175.12520616367894,-35.68996690878868,-3.287330721369249,-77.56590075080796,-121.19637440306153,-143.56359750488144,-142.81416642674472,-111.79216848264858,-2.380318626623956,-48.9857119677008,-20.706478226288212,-28.21860377678135,-53.718404692295984,-135.5351595788486,-176.68179094529137,-181.9751460986852,-108.61147734299732,-84.93453080291673,-48.74568858937108,-47.476616296782126,-99.92698861086537,-154.4216376356372,-177.983696313594,-191.373733524497,-114.95370129762468,-124.2521836443514,-108.08118691402434,-57.62071390729383,-84.89853023958332,-124.52486837031508,-151.21661851587734,-112.40808498063276,-115.38966335278492,-126.02734274497412,-104.360410604189,-102.35031237179922,-161.54386509058736,-148.03716893884604,-155.0160797282212,-75.54673894647169,-96.16104636619974,-97.29039898403109,-97.32980953287034,-128.84611455545357,-154.08799245930044,-187.1201284309258,-196.30695084367443,-207.6269547553348,-92.84062422963552,-80.05857498094204,-125.18537911279842,-68.12678545955292,-101.17659203299138,-89.07272267267572,-119.99939798601838,-91.66705735911728,-31.236467442240617,-76.85928685585274,-24.01483560810841,-121.31695744003402
43057,-36.29766398922332,36.35975507071262,-92.96414744555888,1.2623645008716473,-84.54046719277954,-103.34706030819784,-125.08822697578574,-118.6832194041957,-129.13512248631298,-63.45159190398743,-116.33523398536587,-104.09991996340668,-107.02759140863388,-69.79065373511816,-68.98249579873938,-133.50056546351334,-172.98034407355485,-26.464779458229792,23.454888962606702,-82.68945269918146,-127.03497676457444,-144.95882416117374,-115.5016960951467,-53.86832097679282,3.90515010698701,-43.31741815114117,-19.832578149906222,-36.906781892749365,-53.92944580030854,-123.4269144537672,-141.84840337003604,-138.3486832471828,-100.15089802827936,-70.94263528351662,-39.65083478474767,-47.02187161026413,-99.87876758815794,-148.16787002814215,-159.90189202856217,-170.13320882745674,-109.09703990004608,-116.03243760518023,-95.95540085003292,-39.74632728315687,-74.53553862293379,-124.2956542392792,-148.1694658575843,-112.91963426336366,-114.5706380918324,-125.16791675840926,-94.98319533100594,-85.93130058878575,-152.01830410052756,-147.2093598656084,-161.03754433739653,-94.16798176623948,-95.86330884101946,-100.60456434751632,-92.48607702892708,-115.57665659652407,-149.09556050337713,-183.83280033246655,-205.99720783321092,-276.83329333688926,-110.70907112097616,-101.19722318000868,-120.92221821183269,-60.61829478609095,-111.41540266019057,-101.98747576983264,-128.19150667673532,-99.01927133031052,-19.539502825439925,-77.42339562517971,-25.775402006463683,-123.01419295158978
43058,-35.564711168722944,35.51491483527146,-104.32336686312873,-2.635037741909525,-74.43734965695349,-92.74262642356994,-106.17416396791626,-114.36815374616592,-126.36993465603646,-56.02499854605529,-119.54531847313918,-108.14879215692888,-106.71701554097496,-70.19764984080125,-58.93639627850753,-98.05357225875632,-174.64846848060506,-20.703839263278333,40.452854703939785,-89.92284306771474,-130.5326996783571,-146.59013242850287,-97.14239866076136,-16.201147913110873,11.643221222943495,-41.163321171726615,-25.10249708462151,-48.955502896738686,-55.87119271137497,-117.01583090206896,-116.20981024597114,-105.02741000403827,-91.6198332359779,-59.39662095663178,-33.628985569791205,-47.62719302118987,-97.58188186921194,-141.29881921988525,-141.90253801741397,-147.8308993316557,-103.14639450559947,-106.71283484602364,-81.21453832145657,-19.294452051319222,-63.53410993418225,-119.97060607746327,-140.6312678443938,-110.47800375099128,-112.06161348664828,-120.99516319616995,-81.16916790472935,-65.28987416240139,-140.74281516052636,-142.97560200757175,-163.1244944638648,-124.15244558754068,-92.80556001987958,-99.75133488623246,-84.19238409211536,-99.30942822037072,-142.51174227095535,-179.26157824290323,-212.91198138444943,-315.23263625935306,-130.0390570780556,-111.54931858325035,-107.26141992713012,-45.97823876667048,-108.25338222631645,-107.3428575566267,-126.04328496082948,-101.71747814204603,-14.944359696963442,-82.10808042055491,-29.03940754185566,-122.3715036999783
43059,-35.82658499790028,35.62843490871449,-113.2256569640066,-5.012563603075082,-64.69349757152973,-79.3895502399517,-85.9493737680526,-106.43655161540136,-123.91907776755244,-50.87453596241624,-120.14505431393306,-110.39754523780282,-106.47483410248806,-67.66675130348109,-49.3375196660062,-67.5532196970965,-173.5511535691573,-12.75594970885897,50.10094169991135,-97.21911920243132,-133.04311049081716,-147.95786703040798,-85.71421658496753,8.940114508394029,24.61955073239199,-36.51905762639735,-34.687084893695484,-64.13070295526401,-60.1407989591866,-116.54158724165494,-101.65791613759583,-83.71151556419831,-78.96653760130111,-45.16853095394878,-27.91957675494016,-49.98676550215216,-95.01981602480144,-134.895512554517,-126.41671974571352,-127.07468334620928,-92.35214300233636,-91.4165703565051,-63.590160318876585,-1.6049433089908842,-54.12586048243895,-112.56291000899368,-129.94375252423384,-108.27602091139052,-103.25667480477736,-110.38126697805512,-63.51364476240078,-44.80256557165856,-129.89609617344962,-135.87105491801088,-158.0606711850129,-160.74097992345148,-83.9942124650365,-93.20994295527198,-73.08982601779059,-82.45030888492404,-133.8019164877717,-172.51916727923452,-215.6491673935645,-304.46948778793893,-142.04365600508805,-108.45879014805244,-90.95581075488673,-30.009629640506763,-89.62635599209374,-106.18203944944578,-112.49046628786176,-102.442089262161,-10.395608187324644,-84.96686929980052,-26.65234896461805,-121.70923681875544
43060,-35.9465710698696,35.711881918943426,-120.81705052678596,-5.585667994999779,-62.24902257188402,-66.34460699630495,-67.68160573787736,-94.29425010008782,-119.88339299314848,-47.773954536454816,-118.18277245492692,-108.98008579669902,-104.60848171921316,-63.13454474245613,-40.21892520207516,-47.74247674311548,-167.05269779365798,-1.2498136862607978,61.101570965739086,-101.83186500071412,-137.17788219166343,-150.92332631926695,-80.55453543467797,23.272291672170827,42.75949153094923,-26.080589941635665,-46.19792499877214,-82.5048319465883,-67.78903916345958,-120.2148697847076,-95.98122782317704,-71.69555878662152,-61.89128475261387,-26.55920201950916,-22.44955780639103,-56.74988940300681,-95.88802921920544,-130.16127690878434,-115.09936230025971,-109.7234537489992,-75.80882906751991,-68.93146899935284,-44.3232560433104,9.270907946316328,-48.61939830929016,-104.188208313752,-118.9026018430002,-109.2597343383493,-87.21597749116809,-93.68148564595488,-44.68547227113636,-27.88641205015208,-120.29803590522584,-126.83944622670842,-144.30587362897066,-187.42192917411663,-68.88563702358022,-81.97430331574566,-61.07474849979526,-66.15369630437512,-123.1982186747643,-163.17402665523755,-214.8308875670188,-252.7514646878519,-144.43781770509852,-99.900096070077,-80.77669549769782,-20.20108860483856,-68.00579862198472,-104.83068455997862,-97.08586634554904,-105.40411825101584,-9.920607051651007,-80.26062033659912,-15.249786652675448,-124.65305179716717
43061,-34.76749692113755,34.64987814928926,-126.6017917453693,-10.480744193619303,-73.50624176749749,-56.11145131787084,-51.508198833397024,-83.74378492065101,-114.3462743086694,-46.12473872049803,-114.4628243819734,-105.08930383576244,-100.00318091103398,-58.191013093916446,-33.20942419296677,-34.23877260196707,-158.32288217676967,12.161073846883031,78.80842548655733,-103.97756442809712,-142.97235192767562,-156.37233458600517,-82.10747861413829,25.26552904755289,63.87978235318407,-10.140217054155524,-56.94949159756487,-102.16434958371316,-78.01359424992293,-125.83590249479084,-97.43526433368756,-68.43347658806107,-42.75694863101247,-5.839876116723977,-18.787753843654308,-67.95014058934153,-101.110724724431,-127.98729108123383,-110.6281369612717,-99.6153431859628,-56.35701380821643,-42.86866301051652,-24.49889609261011,14.328735605337688,-47.70254635070331,-98.0445438741296,-113.11791127477856,-117.02665371328342,-66.94508551007806,-74.00453325686345,-27.61729060090203,-15.01763214023993,-112.44071915243734,-118.3165263211542,-126.87251675390156,-193.3010662903501,-49.62153386341024,-69.27593044849053,-50.63396824997057,-51.24951244278064,-113.1815149611778,-151.9247315609855,-206.65441399788165,-178.79251935906925,-142.1530193901688,-93.48891463861436,-79.22789137756085,-19.126267304060008,-52.96269292217692,-104.33267461007011,-86.16902257973365,-111.6370444419012,-21.378147620436494,-69.65503231908824,1.2438270749578324,-131.61046920267975
43062,-31.708991066861632,31.75951253480283,-128.38938893558014,-22.7382547844414,-95.96567188550574,-49.50959773189261,-35.18894205270295,-80.56506107763727,-105.96779613857386,-43.14570029107076,-108.29442144942044,-102.34525273329524,-93.53927265529175,-53.55045940400576,-28.033590204476635,-20.41341496827785,-148.4250959963871,27.891380423302618,100.98759416090344,-106.8764144855732,-148.88082958683057,-161.2579995754409,-86.60601629806332,19.068152829422694,86.34386720308854,11.545066347348897,-63.840256948560864,-119.76122075047246,-88.72768311588645,-129.5091050140577,-102.21643613449116,-72.45554171852582,-22.512636794064814,15.244426431702626,-16.222505405715406,-79.99892589064407,-108.31549592652932,-126.36889426183504,-110.50157653630436,-96.6622889289322,-35.7422244285935,-17.108677017434996,-4.438120968333653,16.494400372413466,-50.69300034364878,-95.32162182675128,-112.815000933041,-128.0237889528366,-45.44316951286282,-53.57668774842246,-13.453960341296556,-5.713550612978462,-107.19904898341134,-112.24558209524626,-110.49746727728288,-178.23331170014214,-29.132714977641854,-57.61605457462946,-43.235000069611885,-38.72604539004035,-105.28190806186754,-138.66434677898673,-183.82198653949223,-95.6226069817307,-136.77437437457212,-87.94363469477524,-82.30524512525405,-23.441939125691096,-42.85423447237394,-99.28636267255352,-81.23174049400387,-118.0557572135696,-41.21549173684342,-56.533623475342765,17.168780877681968,-138.38838633035414
43063,-27.431954943377168,27.527507575035763,-125.26392771294606,-35.287744859723105,-116.36104389830746,-44.15687764806469,-16.869591708383016,-83.89010631174001,-92.42725555531086,-36.80743862127377,-98.54222590445995,-102.09675251611392,-86.4378253932329,-48.57054386565514,-21.673324375418066,-5.631790010764797,-133.87154373851993,47.164697300119954,124.03952141638794,-112.27212943043428,-154.28434227573027,-161.70449138836872,-87.02523485268367,13.936663147386016,111.26218822872497,39.58251643105837,-65.14730210705619,-133.27253216034714,-98.70253684979257,-127.33398862747144,-103.8787461782191,-77.35788665073211,0.4438770874227317,37.05951067976309,-11.857279060129056,-88.7708287407094,-114.41400999979815,-121.15036954183516,-106.5771070487867,-93.63060756721607,-12.640992433430974,7.500137718244481,15.913164081207002,19.152086629181596,-54.39208019973269,-92.5850444642402,-109.0350860171716,-128.39842313312857,-22.78567615312527,-32.28695330072115,-0.8415939272197863,2.252063663859966,-102.69869689277998,-106.36767544080004,-91.88790983728646,-142.88228174080012,-8.374265145961614,-45.869752925108905,-37.79559978232705,-27.244782616067123,-96.695577361786,-121.662085872983,-143.09622833030485,-10.943616136414189,-123.38060277971024,-76.70420347393205,-83.3471718367662,-27.62799572004672,-33.59708399256214,-88.9872707636811,-80.61452948527096,-121.0468736096472,-59.9773848591621,-40.79449034331459,30.165640975222964,-139.05935501202154
43064,-23.89947382875249,23.86515935243357,-117.8241428025174,-38.6347127835953,-122.94702639866496,-35.0130777024892,4.454956609762449,-86.4506597518864,-74.6350961296449,-29.835280067747547,-85.95333376589726,-100.3523010768705,-78.4796977424568,-42.00308848909224,-10.6767114320528,9.944822058580655,-113.97582053941396,68.24368928784476,148.10037179394848,-117.76306645477749,-159.6338549650979,-157.42997855942093,-79.63529186284448,16.074993622414404,140.11663314845518,71.03728752617138,-62.860491554628325,-144.13337278187532,-108.90471228542522,-120.44232077029004,-98.65744990871208,-75.59907042102357,26.99977606800217,59.45362119450166,-4.624851516046221,-92.99536352742972,-118.95682952101292,-111.613080234796,-94.4114080894907,-82.90308301714774,13.92944307701328,31.470374577247448,36.27768107765141,25.18655204118025,-54.69405052565127,-85.52808916879297,-93.69852222521412,-106.60003011407012,1.736268193319395,-10.327415823234729,11.88429197397274,11.788035589938366,-95.08901485047394,-96.54505363566986,-65.93994737738967,-88.55705167042117,13.249285562720337,-31.400202350294364,-32.13297128758033,-14.586931353871316,-84.49619536237401,-101.2007188998999,-91.67919987428547,66.22400035496636,-101.56676795000082,-56.62140990690007,-76.87999130138306,-28.1216353284289,-23.34870037295099,-79.65545082898403,-78.00966742768908,-118.08945209275704,-72.61258501271712,-26.416403308184226,37.18372494573511,-129.48256633212833
43065,-22.62352600463648,22.46545748992764,-107.0055579900308,-29.41419844775724,-115.10790863545542,-18.598639586563813,30.565145695935115,-79.04630249736294,-56.76371802741173,-26.631000716963808,-73.48946931795294,-93.0395747751222,-69.10698002810364,-33.783528031163065,6.4640228444622,31.83156493565327,-92.59086719099471,89.39798771223694,173.9853928513691,-120.5226244330166,-164.92598049246502,-151.182234719758,-66.11066145332249,26.701174893090663,169.8996639889355,101.16493769097048,-60.38225944224723,-155.1919804640688,-121.18995169304712,-113.72888453350414,-87.42685173845527,-63.77006150308576,55.478059857686894,81.40775838952193,4.139346589359497,-94.11731122966088,-123.6941533446455,-101.19621308099786,-76.86908791792615,-62.846418705925785,43.04952075501819,55.26724115983699,55.906889007437705,34.648197041780634,-50.20136977850841,-73.42577945819878,-68.11725253772033,-65.14713826199846,27.45628041804227,11.009562667961328,24.95144250175275,23.012449527224607,-82.65716280794187,-81.59510978590139,-34.55997749644346,-24.000986032987345,36.21049891687232,-13.512851208128277,-25.06515795366233,-1.1421537921502425,-69.81098242188796,-80.05874932691451,-42.83302769129923,125.6442150284931,-79.4093517593822,-32.62035110760295,-62.07507458544564,-24.304292758610178,-11.89590155431943,-72.33369156468875,-67.69373413590907,-107.22542802913338,-75.42070543239188,-21.413892171893007,37.13860526920088,-109.19576256915552
