Unnamed: 0,b'SEEG GLA1',b'SEEG GLA2',b'SEEG GLA3',b'SEEG GLA4',b'SEEG GLA5',b'SEEG GLA6',b'SEEG GLA7',b'SEEG GLA8',b'SEEG GLB1',b'SEEG GLB2',b'SEEG GLB3',b'SEEG GLB4',b'SEEG GLB5',b'SEEG GLB6',b'SEEG GLB7',b'SEEG GLB8',b'SEEG GLC1',b'SEEG GLC2',b'SEEG GLC3',b'SEEG GLC4',b'SEEG GLC5',b'SEEG GLC6',b'SEEG GLC7',b'SEEG GLC8',b'SEEG GLD1',b'SEEG GLD2',b'SEEG GLD3',b'SEEG GLD4',b'SEEG GLD5',b'SEEG GLD6',b'SEEG GLD7',b'SEEG GLD8',b'SEEG GLE1',b'SEEG GLE2',b'SEEG GLE3',b'SEEG GLE4',b'SEEG GLE5',b'SEEG GLE6',b'SEEG GLE7',b'SEEG GLE8',b'SEEG GLF1',b'SEEG GLF2',b'SEEG GLF3',b'SEEG GLF4',b'SEEG GLF5',b'SEEG GLF6',b'SEEG GLF7',b'SEEG GLF8',b'SEEG GLG1',b'SEEG GLG2',b'SEEG GLG3',b'SEEG GLG4',b'SEEG GLG5',b'SEEG GLG6',b'SEEG GLG7',b'SEEG GLG8',b'SEEG GLH1',b'SEEG GLH2',b'SEEG GLH3',b'SEEG GLH4',b'SEEG GLH5',b'SEEG GLH6',b'SEEG GLH7',b'SEEG GLH8',b'SEEG ILa1',b'SEEG ILa2',b'SEEG ILa3',b'SEEG ILa4',b'SEEG ILb1',b'SEEG ILb2',b'SEEG ILb3',b'SEEG ILb4',b'SEEG ILc1',b'SEEG ILc2',b'SEEG ILc3',b'SEEG ILc4'
45560,63.73807922558654,-138.0430096003754,-189.9511440545813,-158.93229588959525,-124.74140789172284,-171.14385843613368,-193.6374451583605,-62.3097208932557,3.2731669822001126,-26.094393469927475,-79.63924510100524,38.66871075844921,-133.70452612093194,-260.24943342147924,-247.66947818398836,-47.53551038980311,-170.2784345797865,-165.9342861423372,-97.8625762823768,-116.39190840736272,-247.86513314388287,-295.0964019508709,-208.82874109333275,-100.75332089856316,-153.9533179257378,-95.31169893007711,-111.52461958685237,-256.7406565688838,-246.69706888256115,-173.6717350419033,-131.77903452509318,-151.80074855828155,-72.42416965475111,-64.7669814119095,-21.070585712683307,-148.6705393925903,-183.42606164878117,-161.85601454877386,-132.0148330738285,-23.33477252780648,-82.27513606703451,-47.57786146042529,-128.0898987258797,-158.844719388443,-151.8443962417063,-143.52439867990262,-165.5769182327507,-207.266520922124,-69.8036095635787,-85.34182237567066,-119.41723598302622,-181.5713928308056,-169.76790985442688,-118.90259490522972,-196.66708365265907,-302.3952059575953,-67.03383268157204,-76.43696528022218,-111.17414512252044,-137.3888074210301,-72.73406833061742,-151.39341068077198,-234.40822407710192,-119.80058054549517,-48.10148838944776,-274.9433278210876,-210.8138727838783,-167.24207431565029,-184.11297600645457,-279.6993362896979,-186.8761642283465,-51.03165280247991,-122.75388645889218,-138.7389148996346,-23.276809931524536,-116.88504631229782
45561,61.074246466454575,-137.65026046599434,-196.52251952072305,-168.0634598828291,-140.50913938944404,-198.75332616767005,-229.76314329618884,-101.42368962580184,-13.954756048584102,-35.2571379033195,-91.77686332598752,30.24472317358262,-153.02905719774418,-293.4266747162919,-290.40636367499525,-84.58943450746848,-189.7536824851805,-184.6197949521466,-111.55284249556308,-133.08669979882777,-269.4243850908401,-330.9705981723856,-252.16251672682984,-126.7336624451207,-156.37379123840253,-104.78611502041272,-131.3381434718401,-284.744770904788,-270.6460726799302,-200.5972381641288,-147.17986724867026,-149.69664517679627,-78.8439696005429,-74.52097401621171,-36.83050018674011,-172.84525682061368,-207.11050797976756,-177.17128156858277,-134.98333098732493,-16.57019648023059,-88.25070867443743,-54.05762877669423,-136.54028240172605,-169.53858326608196,-157.72697370389434,-146.21508067402775,-156.78786490074003,-197.91194006413065,-77.97649844417849,-92.08878631432428,-127.96151598103155,-187.0905593537835,-174.54107133522018,-121.72265871532151,-187.92032227729555,-263.5475524923099,-76.8446841169621,-84.96072427278047,-119.90545238100312,-146.33445717395077,-85.16251153195148,-165.86037414422432,-225.0321751921769,-174.28255387897238,-51.479419837430896,-286.8405383674646,-224.5190655883804,-173.89586425236786,-175.83102889704267,-297.8755709944469,-214.04729070946357,-50.449641969765,-150.72362304853743,-133.9489771848921,-50.0910102189787,-136.87123788711818
45562,56.55489031900358,-133.12455889854556,-193.92937411709653,-167.89686433000946,-148.52357103864642,-216.3881475557444,-254.25376699168584,-108.266896078453,-27.466952259983987,-40.92073996003604,-94.99050813782348,26.80220068773193,-163.34381292198262,-318.95334253971896,-327.377001378518,-114.3989907712974,-201.0941447850144,-194.2528105469257,-117.21875871706544,-140.70989125945664,-283.59486119525127,-360.1864044201689,-291.0359545875555,-146.90402089707013,-153.64146576588348,-107.3843470481815,-142.25374743848624,-302.73825191313324,-287.22228428816254,-219.78453731131265,-154.70854646693866,-141.47868424428452,-82.02960402955796,-79.75852344491229,-48.39866284009437,-190.00014069884767,-221.06001731296604,-183.5865318720923,-130.66279529447888,-9.333530580784268,-89.10660678371825,-57.30550376224369,-139.50248090255872,-174.22113935929485,-157.99395580717612,-142.8912778188731,-142.9092074820788,-185.9449987960301,-80.76128903616043,-92.89314333721002,-131.6214629239937,-186.2189475825105,-171.89265422526873,-119.48861329128412,-174.82908336784763,-224.62091166848825,-81.7457521274921,-88.99630010314083,-123.38661853190598,-149.8383985675314,-93.14111145549109,-173.3081518553304,-204.799176240752,-241.8545875116428,-53.43397491200494,-286.2046673917218,-230.67307020654505,-173.3045704344185,-155.9846067087188,-306.8763352307534,-229.9677459014932,-42.798837551980746,-154.52243380931853,-112.19254780712676,-60.10934547568628,-146.6777805183291
45563,50.61324789230801,-128.4175295277692,-182.81905323060872,-159.61074583198356,-148.39034000848207,-224.8868959381144,-268.5944969703607,-85.29615250740142,-34.138640857553675,-41.39599496360404,-85.43891262402933,37.00901664598681,-161.87462830673246,-332.4586883370523,-356.20926163391704,-137.28370599352883,-207.18912834658929,-198.3651357695339,-114.95642026263464,-138.16633841277687,-288.2894163126962,-377.9076332264199,-318.0792170146409,-164.22022605677006,-149.81949684995362,-105.98920359095897,-147.72822725165094,-317.72737891722204,-298.1643354219024,-231.0495724880981,-158.59562563119368,-136.28216186397265,-82.64220770057257,-81.3002184585112,-54.81153764618191,-202.1182462675707,-229.97060142167672,-187.5515137874767,-126.47758764644809,-2.5543210507141936,-87.4153425451794,-57.73358538966455,-141.0416202712191,-177.09103839782847,-156.9074532411347,-140.58833579676366,-132.42515104311053,-175.8529887850675,-79.87380845710764,-91.158764232602,-133.14981306774226,-184.24970002188812,-170.38732950549306,-119.24441424650536,-166.37264308642847,-189.81459533631076,-82.2445521110575,-89.62956129118596,-124.86525622533956,-152.19227541639174,-99.32154005068412,-180.668837658682,-192.25283884407884,-307.05174534345514,-57.88357374155085,-278.19076237933734,-232.02578837326584,-170.83152094404193,-132.55782202340504,-312.6983061351125,-242.8427761682868,-28.92618757156751,-135.69209730295808,-84.72622187527675,-54.05845908825551,-149.37556978889134
45564,45.41330513532422,-129.51331060930102,-174.4753360982117,-155.46167685943598,-148.70212665819628,-235.6594806172468,-284.1182480434267,-50.27944758297885,-44.22303002954113,-45.24193753650734,-72.35637420230158,59.40508593224367,-157.5002834761439,-342.0529929566146,-383.7517301107748,-160.21027062170012,-224.7607209088248,-212.17494362345815,-116.04584263140627,-134.67407725553926,-292.7083359278352,-392.4658963835828,-338.8869835146244,-189.33499945622583,-155.81469643172815,-111.95536478764366,-160.88913297676405,-345.4219071907656,-314.5419339983226,-246.0850058362936,-173.32407642966672,-148.00108592174033,-88.84820278982616,-88.78634737253802,-64.1839810789527,-220.86422576655312,-246.8619528256796,-203.60975541874632,-136.33674330355137,-2.1834987466713365,-93.53756420681576,-63.25727380209679,-152.56373791096073,-190.6875825524057,-165.59519969880648,-150.99184824871514,-135.93458679570196,-175.98839160824136,-85.38339645877713,-97.41920020798118,-143.15219926121864,-194.67930319145316,-186.8446759098749,-130.92790190189274,-169.64028665276172,-163.71717156744384,-87.74280692206455,-96.70328284520448,-135.21671406283951,-165.29764756517906,-113.18844259941794,-198.80387455461135,-195.02492868426265,-336.771139846448,-70.19058001090336,-276.6836765060932,-240.63156713647788,-176.31027841325073,-120.40270518593547,-329.2630999004181,-268.6680576562559,-17.809487469454403,-126.90898049625446,-70.20390814834887,-48.307405025890034,-156.23547830981985
45565,42.1559833961471,-136.3914370421979,-175.4889723589715,-161.57316013281073,-154.20140293403747,-252.8155886807681,-303.062979410451,-17.871354968226733,-65.35328621638966,-56.31613362213673,-64.66363379365313,84.48847059475179,-156.85218619516863,-352.49848762032804,-409.182952620279,-183.8835277410864,-259.03443727500564,-238.6425291750624,-124.43906535243134,-135.13253333722196,-301.4027207179196,-407.1152031327503,-355.6524547230312,-220.8277000279193,-172.20873543564525,-127.86607391372657,-184.14320176021727,-385.2561506966362,-338.2644001160779,-268.3487349232101,-202.0910781291356,-176.11309440758973,-102.40994497026838,-104.69690351395352,-79.12140688247133,-248.25555804039416,-273.2702645551941,-233.67667017431225,-161.74623979336891,-10.746171595095149,-109.24001777648331,-75.5281295940081,-174.4261871947044,-216.23700769429735,-185.4888969578184,-173.460018231675,-151.40064509009667,-185.3814866066261,-99.6828312659518,-112.70961908316976,-162.82571861711858,-219.31019067452024,-222.24010489255997,-151.74053006389744,-178.48550351835397,-144.85764463735185,-101.3631693577445,-112.86906963486211,-156.10839821178533,-190.4960130800475,-135.19984985493704,-223.4098386028469,-199.18284824636945,-304.58437186305576,-88.47736674522665,-285.2873259044613,-261.0284972501319,-190.97572899173295,-124.3216079043028,-359.48094517816656,-309.7253758190872,-14.522236085777712,-144.20623423431562,-80.46825561349091,-56.01419081487055,-172.44986844688324
45566,35.97707421356399,-124.60727004758246,-164.65029442653346,-156.5866999523036,-148.42840690369732,-247.63117677248127,-294.6087891297194,-3.867718606426016,-79.72519526419116,-58.79687767530479,-54.245018002072,83.71115331060145,-145.84835217025233,-331.7340083662692,-386.96617079629374,-188.64036821413185,-254.86406874761127,-229.03249973105196,-118.64026473041258,-123.93418421865078,-287.4457596927767,-381.2584456844808,-332.8765838262624,-226.0539899274584,-164.316605682851,-127.17195648472882,-184.1134293150285,-377.0376115888237,-330.24216600847456,-265.7651050954748,-212.4632127200788,-185.77796464925208,-101.50925597441896,-105.11109781413128,-84.41060241373918,-249.23177041110227,-273.96145889355466,-242.3047200514232,-173.80858802149996,-29.753482914005914,-108.23508208067564,-75.35147900161114,-169.7679324839762,-217.3004454131475,-190.05442323223943,-178.63012426650397,-152.63602600492868,-175.7263945738421,-100.29700403080328,-109.36148528361554,-161.6173155099424,-221.279081344168,-235.29574261556985,-154.67157070472732,-169.508190471538,-118.7258289011655,-103.3001303223707,-115.47358613171396,-160.4727404871614,-196.00847297117613,-141.90263854268323,-217.00532158321383,-178.05313958190683,-218.0740215571358,-95.35599656716414,-263.57340678156686,-253.08737335371845,-186.3161693682777,-122.53314526562468,-352.5718820766205,-315.20420555632217,-14.379320588278194,-153.2881480817419,-93.72688129452524,-63.93439244267983,-173.83587043619391
45567,20.09685274037608,-59.200329375398674,-107.81874935943048,-107.3254086965363,-106.00975563568898,-178.39410545498933,-217.54312825711384,-25.21519201002239,-57.63091599824468,-32.14770948935554,-25.55733077469161,18.865167512696356,-101.7243263382096,-230.10893308410664,-253.1867409614406,-146.96816651951886,-129.10764433479028,-113.72327452368256,-70.31874216804695,-79.01078825072679,-210.3907640140881,-255.421873826768,-219.87691684870177,-166.34516149491026,-85.47933807146451,-75.63968732258334,-115.3423242444407,-236.0077200973155,-234.2749770261038,-194.14671652720472,-160.6376185716853,-132.35640915395882,-56.90062954091352,-57.72293144299744,-61.32080732669967,-175.0770692028694,-200.46081958348103,-181.17546310310271,-135.20923869018506,-65.43207307329624,-55.00317928803769,-37.99133154563221,-88.46254386057959,-144.58873776904747,-144.76493958051356,-130.74200093036166,-111.06076770771348,-114.13194302173152,-57.34114267193711,-51.14680064434389,-98.54891117338067,-149.3908457735212,-171.44393675608794,-110.4501078724188,-124.39165582296108,-74.96341026533457,-66.55163354051759,-73.87430974552156,-112.39474766100028,-139.20013616674592,-104.63795066084494,-138.14955718359246,-119.08848678564507,-120.72923753329329,-71.0988768276753,-150.46489302212382,-154.08543494665108,-121.19241070032577,-80.30525367512406,-230.2365589711436,-212.6499166707804,-12.05898885040713,-104.70544591336588,-67.30733439664776,-45.32225647030401,-121.39763566835713
45568,-0.9100467213265094,38.984343765668605,-19.833436629774567,-26.95517861536711,-38.792016082338975,-67.2529158788838,-98.13223160072408,-67.74638456055561,-5.991682077182118,14.203931193228271,15.214688425209726,-85.61129267027785,-36.40375623453603,-78.69854574393848,-52.63652564521509,-73.35163185285292,77.36848514656155,69.42554688561573,4.733972233851444,-13.712990379629538,-93.23335257137988,-69.84279400294584,-54.39337837643391,-65.76139074980347,38.36205044435129,8.54106528115152,-1.3353366966901028,-9.101771171621838,-81.06556101536927,-77.9849508610357,-65.19784775171516,-34.9844272520419,16.552730108581127,21.372209271042088,-18.79905759462651,-50.95585489600244,-77.3123941553276,-71.1881518540233,-59.56271678319902,-106.72633984679996,32.95081604301016,23.72801250644497,42.36518446893508,-22.787026700100192,-65.15592126733321,-47.23217811770739,-42.09091754312473,-22.0073483120821,14.865547390865332,42.04928118618809,5.036754894875082,-27.120297058925573,-53.29016441289287,-36.65079799154418,-62.054421586514486,-27.34872092058465,-3.1306288324588736,-1.9391648869918288,-28.40686747532208,-39.65260137895211,-37.61778664562756,-17.342936839886875,-48.59530220137656,-59.2928125024703,-26.396542052945225,20.56348170103839,6.279547571122775,-15.437899876090686,-6.6845624174771086,-29.89490138354781,-37.86092521197035,-7.071913920752185,-13.502284429627547,-3.5175407743663625,-3.575782747439697,-30.004826904822984
45569,-14.07435487217165,101.836347347294,39.82901175237541,28.79073999534861,7.790012802155399,8.161030639159534,-18.08388028818079,-93.67558927415456,33.11302495266368,46.89892644672074,42.97665567262693,-150.80780188796075,7.89683831385272,21.16842706934689,78.10255655312098,-21.417644839273528,214.2481496204916,190.15530141595443,55.268092171470194,29.934271153309147,-14.124970337344454,51.30096682506525,52.94816294941782,2.585206213275749,120.38391553346864,65.47553140330504,75.95978929165507,141.92644917462243,22.447617796617276,0.8526632559119977,2.00716106405886,32.83849447898359,66.68489158397743,75.32667782749908,12.0086443835654,33.89617444494659,7.126657524767587,5.902706768920853,-4.728399998459441,-127.37606458165683,92.65002218612996,65.96715327479676,129.47042880912807,60.12515226243582,-9.104466940006605,10.887078607869904,5.402911644449289,38.55898946576417,64.49414352219748,103.87177907726982,74.95908402303394,56.6328221990948,29.58164500367264,13.815380218364812,-22.194322292310687,0.7331202898970587,41.29626831988458,48.11501271796515,30.113136317677714,29.47821746210213,9.70890498084962,61.48921892869037,-7.585278970400951,-43.17481451852514,4.797690878236927,132.55098975514332,114.03638146999712,56.42034595177102,45.34649028986504,105.13531041092918,80.12238433786173,-1.6521211147628565,50.61810302840255,45.56513462607032,28.019012886290074,34.060858594724024
