,Unnamed: 0,b'SEEG GLA3',b'SEEG GLA4',b'SEEG GLA5',b'SEEG GLA6',b'SEEG GLA7',b'SEEG GLA8',b'SEEG GLB1',b'SEEG GLB2',b'SEEG GLB3',b'SEEG GLB4',b'SEEG GLB5',b'SEEG GLB6',b'SEEG GLB7',b'SEEG GLB8',b'SEEG GLC1',b'SEEG GLC2',b'SEEG GLC3',b'SEEG GLC4',b'SEEG GLC5',b'SEEG GLC6',b'SEEG GLC7',b'SEEG GLC8',b'SEEG GLD1',b'SEEG GLD2',b'SEEG GLD3',b'SEEG GLD4',b'SEEG GLD5',b'SEEG GLD6',b'SEEG GLD7',b'SEEG GLD8',b'SEEG GLE1',b'SEEG GLE2',b'SEEG GLE3',b'SEEG GLE4',b'SEEG GLE5',b'SEEG GLE6',b'SEEG GLE7',b'SEEG GLE8',b'SEEG GLF1',b'SEEG GLF2',b'SEEG GLF3',b'SEEG GLF4',b'SEEG GLF5',b'SEEG GLF6',b'SEEG GLF7',b'SEEG GLF8',b'SEEG GLG1',b'SEEG GLG2',b'SEEG GLG3',b'SEEG GLG4',b'SEEG GLG5',b'SEEG GLG6',b'SEEG GLG7',b'SEEG GLG8',b'SEEG GLH1',b'SEEG GLH2',b'SEEG GLH3',b'SEEG GLH4',b'SEEG GLH5',b'SEEG GLH6',b'SEEG GLH7',b'SEEG GLH8',b'SEEG ILa1',b'SEEG ILa2',b'SEEG ILa3',b'SEEG ILa4',b'SEEG ILb1',b'SEEG ILb2',b'SEEG ILb3',b'SEEG ILb4',b'SEEG ILc1',b'SEEG ILc2',b'SEEG ILc3',b'SEEG ILc4'
Unnamed: 0,0.0,0.000990213611757672,-0.006973418072948496,0.0021357592483118256,-0.0015667429417981435,-0.0034819046538272,-0.0054554288681248194,0.0009524850158484469,0.000762109374967601,0.0008130143292540309,0.00128114293313711,0.0008107962069429617,-0.00116141502061247,-0.0014793245522560748,0.002217315596457099,-0.0003353634882407884,0.0003372251970961437,-0.00131430857565379,0.000512041153379295,-0.000893181574571237,-0.0014072165695029237,-0.0015073025670914635,-0.000837602393677081,-0.0006242379634139655,0.0016860746692690424,-0.0003175880349493775,-0.0007332674164216078,0.00020046397078166914,-0.0014414299576059014,0.0002636257090910937,0.0020118875069342367,0.0007738551048673771,-0.000516233308775105,-0.002040827729159064,-0.001615579399319215,-0.0011826416295621465,0.002678179393935575,0.0037528540026639306,0.0031831497743108525,-0.0008836835263604965,-0.0017244771895269003,-0.0031029970324293796,-0.0012953236214505472,0.0007902089028987741,0.005549038349918769,0.005253882901878699,0.006240160378750522,-0.002919644377702802,-0.003687832892695491,-0.0012773034168121417,0.0004384689579451912,0.001045575631082361,0.0012203869517334667,0.003921417749239317,0.009174783352649133,-0.003413396761243124,-0.003422341768298741,-0.001442585481395803,-0.0004838059309651701,-0.0016546939815882161,-0.0008369197323969503,0.0035577560669164668,0.007351142157944618,7.291096128491501e-05,-0.0030710522270801072,0.0008100729319917364,-0.0005271966929519189,-0.0011171210447429188,0.00039408735755286416,-0.002096816461044322,0.001264091274264028,0.004101423938202629,0.0017440976350256892,0.0014419912869078257,-0.0007712322334985569
b'SEEG GLA3',0.000990213611757672,0.0,0.5813073775613461,0.46197005173788874,0.34336978755752734,0.2876575759430521,0.396442165624364,0.7913350291559784,0.8633260856383059,0.8904733630453212,0.8522066302502895,0.7767419692412518,0.7279924876455489,0.7481686929547849,0.6489279539726426,0.8067367575860893,0.8890999275751164,0.8662555128045788,0.8763511405768786,0.7776297329648328,0.7883864937332233,0.8171171449318992,0.696017920595239,0.8095541760180495,0.8408700057622888,0.8571897054723231,0.8619885551528028,0.8347223233206161,0.82726461720026,0.8178193373866248,0.7707535009093194,0.8307088151744139,0.8495820814036132,0.8486496709068242,0.8484077132188138,0.8395129226793107,0.6772524418725011,0.5131951758892769,0.7500548225718912,0.8368902597158744,0.843191255293173,0.8398503635170907,0.8435875079693943,0.7920471275707975,0.3476006622570784,0.4165793255394209,0.6863221279260494,0.8384640737450018,0.8235196935102752,0.8300530106840498,0.8243500850797832,0.8042900165217323,0.7673330176648687,0.6657576701681125,0.5301803725275718,0.8392407375470069,0.8207335274366839,0.8143202725626024,0.8172681841904978,0.8052196382206832,0.7072530170897293,0.45182009605667994,0.23237639622402698,0.7614252415687988,0.8191525565576013,0.8439730513977391,0.8250402332378683,0.8046145826254452,0.7906310391478218,0.7738835905598115,0.8723136952455245,0.501330491281976,0.6298961492338424,0.6148734612090809,0.8024847210885923
b'SEEG GLA4',-0.006973418072948496,0.5813073775613461,0.0,0.6497682063703994,0.4299303281510275,0.39529589992866426,0.34496177269985046,0.6090402520518658,0.5708434921627,0.5850080472506193,0.6106949919685029,0.5615231045686332,0.561446569975961,0.5893073233560451,0.47865946783509994,0.49296887772992676,0.4973361805604977,0.51497810115075,0.5244189811077796,0.4610915977658475,0.49840611499963355,0.529139011154231,0.4146330050722085,0.40334735299286595,0.44873176403168147,0.4931188050008703,0.46268693472326494,0.4605792195059847,0.5046624013818213,0.5502015152301847,0.5153781400005933,0.4538005209116417,0.476532034028989,0.4542035667214557,0.4454974171791624,0.4736689163555206,0.4782183602479307,0.4353290379749817,0.43565515011800404,0.4665824599175253,0.4679727362095821,0.45604161085297384,0.44941918975098805,0.4690340922185592,0.3158720244990669,0.3589416057227157,0.4137317659738274,0.46652088996408925,0.4452493904087723,0.47124340193817627,0.4513333938804,0.4462249591202746,0.4364201291042567,0.36091478321918224,0.24373247484498092,0.4793910613470032,0.4507907146254761,0.4754785957265828,0.48232510849906574,0.413293846798468,0.30078290317855766,0.1660886436630408,0.06774066281565304,0.39631533889622717,0.4862904049626922,0.5054725896459906,0.5053998706833678,0.41098705255019113,0.43309143596897987,0.453069114686745,0.508590744240229,0.2203974602250751,0.38605747728790046,0.4142329372131357,0.4724337106104985
b'SEEG GLA5',0.0021357592483118256,0.46197005173788874,0.6497682063703994,0.0,0.766207339825656,0.5508675524156033,0.47647814946856676,0.6570622153606793,0.5987913984597552,0.612243954686346,0.6083754167170168,0.7111380698205645,0.7122697798632106,0.6699427608711991,0.545801666680072,0.5140279876359954,0.5356032461043969,0.5452746310044723,0.5380500842053574,0.536720988879859,0.571373237336425,0.6015705187236864,0.4637000911302512,0.4987075729690391,0.47971658063814254,0.5032834914040399,0.4767739177440391,0.47205978109180463,0.5104856625415191,0.5824043969513134,0.5841100898521377,0.5138710257882382,0.5112694547352424,0.48750696486521733,0.4629200750960287,0.4449797067490475,0.45846985388698136,0.43801592538019324,0.5311440223881555,0.5411876895649047,0.537074597996419,0.519387858255851,0.5105887674438199,0.4641245326585555,0.28597981234848113,0.3601428454390186,0.39816926326953184,0.5396864784983545,0.5234085468863634,0.557553018303543,0.5664003758782855,0.5055453945455937,0.5056281035609925,0.3655098545759699,0.2646861815450422,0.5322171629246768,0.5133699710872888,0.5673873479700089,0.5860325798829218,0.5514383858051137,0.43638129144969756,0.21366752105870873,0.2738307344451084,0.5339478327845487,0.4892865518431575,0.5237201411927974,0.5578689873008431,0.48285951529706145,0.4967887245738222,0.5827617910472758,0.5329712758221541,0.2510830713522947,0.4116219195989306,0.5000556202520599,0.43900933965976335
b'SEEG GLA6',-0.0015667429417981435,0.34336978755752734,0.4299303281510275,0.766207339825656,0.0,0.8793482138438157,0.6489882288424174,0.5589343163206076,0.5182584942525893,0.4760891816490751,0.4248805199189742,0.6089964836454587,0.7459251373113183,0.7111328509338056,0.5415923886602819,0.37442217304854125,0.4993893292875929,0.4804559874477805,0.4296493990668107,0.4334487178674546,0.5365560314545732,0.5768264437587644,0.4729437899439396,0.4067059684458238,0.40237606628218364,0.40118320787711836,0.37286968053945535,0.38058298354330733,0.43897793517466166,0.4842516875044768,0.48034882266349027,0.3972618148903541,0.40935304563129776,0.3929631085024119,0.352942904769553,0.3024548171543294,0.3097516462329512,0.28864914205618863,0.4009050153587351,0.4210665574956981,0.41382976844566577,0.40190936966904417,0.3683297211100103,0.2783786233921834,0.14731042513011933,0.21223666039671865,0.20579496999252353,0.43568554668998627,0.4233958181349692,0.4320821105066848,0.4257344253640118,0.33714086464174664,0.36133945841036424,0.2101665884901344,0.1256859925255279,0.4294346784542627,0.41907223855436543,0.4330153755864269,0.47086077823912376,0.44785133706210895,0.3890199336947571,0.1611425295755356,0.17909609688125266,0.4314606830187299,0.3365636190312823,0.3754809221881515,0.42953029392955944,0.31651598875589765,0.3437688929434606,0.42185891126856423,0.4437867230749162,0.23208666401949457,0.17205484062970366,0.30709345703753405,0.2494045716920828
b'SEEG GLA7',-0.0034819046538272,0.2876575759430521,0.39529589992866426,0.5508675524156033,0.8793482138438157,0.0,0.6589573654400896,0.44384058835878604,0.3929952296086039,0.36543355878372635,0.30984502727949276,0.4405092631137541,0.6023989938758652,0.6188758151681211,0.41254150375188015,0.2862587653185257,0.39521344414333615,0.3879335236236708,0.326339342066848,0.3156044643571028,0.43725073291399175,0.4701719230639396,0.36458553300356983,0.29752383580815783,0.30685048358372735,0.32279361087267733,0.29803388910583667,0.3083969701434205,0.35904363391743455,0.3767529119543736,0.36131489843712566,0.2946170866079645,0.3365848148287826,0.3291754845921084,0.290442869836762,0.24620911066276083,0.22031783409394762,0.19613340298195903,0.2362777212266023,0.3144373155884284,0.3206577804231357,0.3083314978357503,0.27209236050073227,0.1803993528040586,0.07849489904020973,0.12126276962438486,0.1322923221359286,0.3232714254297362,0.31644698511845487,0.31591430063386927,0.3020187739752329,0.19748730210475918,0.22325268649232122,0.12528656019849516,0.093076520470786,0.3249782759532414,0.3078211184592042,0.29921471682004475,0.31965457730873265,0.28987077630061964,0.323077934539242,0.16653796838387377,0.13976810264816622,0.3111536400522875,0.24681185297925448,0.2859632179945127,0.2985434300766365,0.21789330611327248,0.23733216467044463,0.28100159998852353,0.3374638492603725,0.15169699019112715,0.07544783964788622,0.1998774309139002,0.16061593133975846
b'SEEG GLA8',-0.0054554288681248194,0.396442165624364,0.34496177269985046,0.47647814946856676,0.6489882288424174,0.6589573654400896,0.0,0.5352956635806254,0.4410482399739389,0.4537753409888871,0.35636516426127934,0.3755812158722586,0.48133288596253665,0.512235896413592,0.5218988599170119,0.33988779016831216,0.3944730097244071,0.39863731138652386,0.34279034680709,0.3190149766925196,0.39676874124776074,0.45101766048129643,0.3616244653932823,0.3773259252928414,0.31791237517837134,0.3702830964910279,0.3382440932235097,0.3223339410008296,0.34607352924175766,0.37343032547586924,0.35370500695481405,0.3269882141649758,0.3535009996270285,0.3395472858027748,0.32901792377060374,0.2692038229238479,0.2237954201794414,0.1770707843533717,0.288255141539768,0.34854852392485164,0.34737216203457827,0.3180963387187549,0.27293640533702246,0.1845176054260398,0.08945879677057399,0.13225807762858904,0.21141582821646737,0.3729774487940432,0.36739434479179267,0.33823889768241655,0.29922701542797936,0.149182090373213,0.23156570491884235,0.21997756576037014,0.18144123619105773,0.37840056858921295,0.37622445865302007,0.3527632706346575,0.3490906847172334,0.3383955980904015,0.3201877409943499,0.2576276389165316,0.182406382298798,0.3593669306238884,0.3297723362267846,0.3952184828401041,0.40894425175065713,0.2597002476943035,0.35001228361872666,0.39069569626731493,0.44387715412639356,0.40518336564515833,0.26869159342904314,0.3133586831754447,0.32414673591787285
b'SEEG GLB1',0.0009524850158484469,0.7913350291559784,0.6090402520518658,0.6570622153606793,0.5589343163206076,0.44384058835878604,0.5352956635806254,0.0,0.9557579224745679,0.9102138056605508,0.8545505639554941,0.8287294981791498,0.8057549543367157,0.800509463418082,0.6967499962726786,0.8578682957865456,0.8760194997635915,0.8709421000399603,0.8209158334335941,0.781360720225905,0.7958216607924309,0.8254165860827636,0.6528888698709792,0.8369309385812973,0.8233570321724534,0.844876941276739,0.8200251238994837,0.7867330784762332,0.7830600074931193,0.8155316571475647,0.7591152475089874,0.8328189309389771,0.8382694108109292,0.8181912722410409,0.7934100021172443,0.7535465489568044,0.7149667397745079,0.6071461865289881,0.7354921944525475,0.8500714435082669,0.8396322414707117,0.8263486297290683,0.8004522813949674,0.7431227155098267,0.42504117704308136,0.5060015156447559,0.6322506328806967,0.8503627089852296,0.8234026476563228,0.8361078611438277,0.8194095899357122,0.7349498100932195,0.748671191048178,0.594460318656243,0.45324771637449685,0.839892421212954,0.8130339968419515,0.8288922835138918,0.8166518735306978,0.7861538870912606,0.7131801349071948,0.42919016861614817,0.3311802677614692,0.8119390587952623,0.8143452146431223,0.8519650106223688,0.868432272920338,0.7927596959693612,0.80654170917417,0.8412324305333126,0.8554704149671212,0.6043953917010487,0.6496161396891498,0.7350093499917691,0.8173044854139715
b'SEEG GLB2',0.000762109374967601,0.8633260856383059,0.5708434921627,0.5987913984597552,0.5182584942525893,0.3929952296086039,0.4410482399739389,0.9557579224745679,0.0,0.9340112187445654,0.886135221143339,0.870968488038355,0.8361113241197816,0.8325411989694602,0.7118753841659974,0.9052432903023507,0.9480326336957599,0.9210449281008163,0.8906263658445082,0.824106661780208,0.8459866768766066,0.8756712068761702,0.7102055894314399,0.8842562748021713,0.8872975149668506,0.8992893848306632,0.8843407834255058,0.8459602390447668,0.8450645117271388,0.8632218635762323,0.8011574709736042,0.8895305391544287,0.8904526163186969,0.8786970398170895,0.8584436696110601,0.8304862787561035,0.7556636580749057,0.6250588494418093,0.7916942357100821,0.9024629112168105,0.8939527884958114,0.8853302756491035,0.8680395111056658,0.812023109825599,0.43162204716558317,0.5173518620151247,0.6828670645160443,0.9019985725932858,0.8812842953193037,0.8921986659699525,0.8768157553458704,0.8083101802745926,0.80907310166917,0.6573713028922156,0.4892506490733309,0.8902679069705866,0.8685258588570262,0.884161670305653,0.8785867398389483,0.8435789985741502,0.7449663422672587,0.45500309979184833,0.33676739571305614,0.836235486724877,0.8561707738456287,0.8884998037082333,0.9012148204794567,0.8477918001080195,0.8488236620282347,0.8601636164862773,0.8963107511829385,0.5716196891924326,0.6628613163872029,0.7230425747666334,0.8489738693528079
b'SEEG GLB3',0.0008130143292540309,0.8904733630453212,0.5850080472506193,0.612243954686346,0.4760891816490751,0.36543355878372635,0.4537753409888871,0.9102138056605508,0.9340112187445654,0.0,0.9539161217123223,0.8742471092836517,0.828293455472306,0.8350199489270255,0.699887833313737,0.8383015001160383,0.9123386642712766,0.9320174809725039,0.9205733206603598,0.8666627116658253,0.8532780046050151,0.8691468481190362,0.6881925211191005,0.8629058280421921,0.8933649584666632,0.9211613465479093,0.8984409327626885,0.8480358287726435,0.8268492283283853,0.8408352110721182,0.7656528880129065,0.901544456877874,0.9079847015615838,0.8996972164679841,0.8799375365416422,0.8482069906992823,0.7442908271207522,0.6006585676967735,0.7565810794355747,0.9091023776138927,0.9120114057145394,0.8967659313853749,0.8790161377891524,0.8127918386409525,0.412364694277266,0.4945705687998958,0.6653857028612749,0.9076509797073652,0.8990984870988137,0.898916869379792,0.8835566161512461,0.8079773286686628,0.7828423655332615,0.6272580922193907,0.51172701386634,0.8934574349321761,0.8751847624784275,0.8863294953992704,0.8711702169950832,0.8313039767986545,0.7134015735252072,0.44133724884014125,0.34236003946655014,0.8257239927579767,0.8497181622735269,0.8638058300962969,0.8671544675242493,0.8281131120881025,0.8459311398567315,0.8494806733787987,0.8716382535349618,0.5452851099817085,0.6690579714380678,0.7045797339056968,0.8181743941947824
