,Unnamed: 0,b'SEEG GLA3',b'SEEG GLA4',b'SEEG GLA5',b'SEEG GLA6',b'SEEG GLA7',b'SEEG GLA8',b'SEEG GLB1',b'SEEG GLB2',b'SEEG GLB3',b'SEEG GLB4',b'SEEG GLB5',b'SEEG GLB6',b'SEEG GLB7',b'SEEG GLB8',b'SEEG GLC1',b'SEEG GLC2',b'SEEG GLC3',b'SEEG GLC4',b'SEEG GLC5',b'SEEG GLC6',b'SEEG GLC7',b'SEEG GLC8',b'SEEG GLD1',b'SEEG GLD2',b'SEEG GLD3',b'SEEG GLD4',b'SEEG GLD5',b'SEEG GLD6',b'SEEG GLD7',b'SEEG GLD8',b'SEEG GLE1',b'SEEG GLE2',b'SEEG GLE3',b'SEEG GLE4',b'SEEG GLE5',b'SEEG GLE6',b'SEEG GLE7',b'SEEG GLE8',b'SEEG GLF1',b'SEEG GLF2',b'SEEG GLF3',b'SEEG GLF4',b'SEEG GLF5',b'SEEG GLF6',b'SEEG GLF7',b'SEEG GLF8',b'SEEG GLG1',b'SEEG GLG2',b'SEEG GLG3',b'SEEG GLG4',b'SEEG GLG5',b'SEEG GLG6',b'SEEG GLG7',b'SEEG GLG8',b'SEEG GLH1',b'SEEG GLH2',b'SEEG GLH3',b'SEEG GLH4',b'SEEG GLH5',b'SEEG GLH6',b'SEEG GLH7',b'SEEG GLH8',b'SEEG ILa1',b'SEEG ILa2',b'SEEG ILa3',b'SEEG ILa4',b'SEEG ILb1',b'SEEG ILb2',b'SEEG ILb3',b'SEEG ILb4',b'SEEG ILc1',b'SEEG ILc2',b'SEEG ILc3',b'SEEG ILc4'
Unnamed: 0,0.0,0.0030864151273336114,0.001624034729878469,-0.005885377507439068,-0.007245731097317,-0.006087314237093215,-0.0026770900529646422,0.0024997013604192556,-0.0004879427193446585,0.0053229013904991015,0.0024198368563029065,-0.006277522176913913,-0.006622528878052864,-0.0031925591919116773,0.007344939823452172,-0.003131352647675904,-0.003085024277821417,-0.002451149006884211,0.0034509757942556623,-0.004698671209889486,-0.004084743230798878,-0.0011630370319545206,0.002692812802836638,-0.005288544327194418,0.0007909123167716835,0.0021770124265944805,0.00016762633834864455,-0.0033000418319447554,-0.0012778520711549841,-0.003673354920048595,-0.0033466736740813507,-0.0016363303181051519,0.0010633431095123525,-0.0012259957528765444,0.00045925096299639196,0.002343022693275069,0.0035087901367863075,-0.00012646365922716008,-0.0017214510449391515,-0.0024653882190162086,-0.0015205092257705806,0.00024255977418035927,0.002096791581360286,0.0009988161156315996,0.007036521026173988,0.00250729682273751,0.004834185406405444,-0.0009655514051890152,-0.0016213430335138377,0.0009866386264171581,0.0041492412364794425,0.0023376716256500456,0.005172005299699414,0.00750722863755865,0.005950015969177952,-0.0009182649103164312,-0.0004294204539248051,0.002364765728456514,0.001602308348668914,0.005514457222354416,0.004076976421028852,-0.0019080634912062929,-0.0010892120012909441,-0.0009359370828455226,-0.0018265137204001465,0.0029988427583757184,0.00519494194413024,-0.0035838419169150607,-0.003205496942079634,-0.0012962693160128804,0.0007486503269055944,0.004572897996610194,-0.009351282453071447,-0.008823816244459824,0.005960801477772346
b'SEEG GLA3',0.0030864151273336114,0.0,0.2851713425290676,-0.040371811956052876,0.044379567362545856,0.17319660166799875,-0.06875870881808191,-0.17004368235799405,0.08859958126573975,0.6668729028237185,0.39063729324028845,0.056690280694378585,0.1231854942149997,0.10299452350450561,0.04927566682578217,-0.09792068708673543,-0.06677960107126589,0.11409439821070748,0.34023682812042044,0.07183817492661156,0.0222059839083912,0.03241226011056802,0.06355911280589484,0.01939918752023163,0.06908956668137597,0.1533085066366361,0.10116045479565566,0.07862471583972747,0.10151169929585181,0.16358102567044558,0.08670664201971462,0.13451074734725216,0.12439623563351479,0.19548437416513112,0.19510322019810294,0.27873906947441796,0.3087987180911611,0.2832711826611193,0.2606489968671518,0.09145606264210762,0.10537547026193621,0.17828090429351873,0.3628062652147527,0.3150835657164873,0.28515184295639984,0.27081930822773165,0.14219849359187003,-0.019514954632422886,-0.026060784837009708,0.06769760116503849,0.19975437354827352,0.2751344013521023,0.28965991371622996,0.15924489134920475,-0.017784030958481155,-0.04455198768859504,-0.09644066024666545,-0.024776244015662516,0.05518689175616419,0.1344711384663614,-0.0836342882055663,-0.1776000098449657,0.04477742268483894,0.04985595831365066,-0.15538434196826964,0.0035479368906668673,-0.21050917740386307,-0.04513061268112452,-0.1882563562472463,-0.1727885429984412,0.2411143499216133,-0.04567758472882429,-0.0077218087534460245,0.10212867848901612,0.005078418127602482
b'SEEG GLA4',0.001624034729878469,0.2851713425290676,0.0,0.51061971694205,0.32183996990200536,0.24008558555302487,0.21209357280373095,0.13924295370510334,0.30739598626429515,0.13883426457647643,0.24350193069289436,0.3966705716270111,0.3770684016242132,0.28486757660229245,0.15931645630653882,0.20649267575411823,0.209652206619084,0.15315892380882395,0.3933213586978908,0.401003190834967,0.41070113357498167,0.2818057470740563,0.12104817983045645,0.13262516598591048,0.17600386651213668,0.32967193808214346,0.41970743922962794,0.4105294653372586,0.33006869358911745,0.22494720242018332,0.1461987345912186,0.13544630992575046,0.13032534991711764,0.2548355294087368,0.38344431081966746,0.1962756280951839,0.019019020416849063,-0.011701610048628859,0.053826694315253026,0.13295618152089936,0.11876010210521382,0.14103941898509753,0.24955850000411345,0.0679231451243826,-0.03376001910798581,-0.053081967267331415,-0.03162419574913513,0.1712186964838485,0.13376237052413575,0.20377543577885984,0.2602538359629949,0.13116907744204223,0.00827830725780661,-0.011217146795943822,-0.09693893529207309,0.21560065291425437,0.21218602551085564,0.18618664113334113,0.15061348718822498,0.08419903858106849,0.024252971213554547,0.016139204079535376,0.0666842029830046,-0.07846212745007348,-0.3106881929678434,0.037664510932272244,0.13022779642803456,-0.02430570279523051,0.0520687790398441,-0.0008601398270489641,0.3213730214705386,-0.29212421701963726,-0.022348276457525754,0.13091674647220966,0.0026826334134674606
b'SEEG GLA5',-0.005885377507439068,-0.040371811956052876,0.51061971694205,0.0,0.7752987140849636,0.4610851315061347,0.24708952846616486,0.17696846284369414,0.18874814101802276,0.09981259930817454,0.3583188885062499,0.6509607115115786,0.6638268376351704,0.5518054826288599,0.17856098132610507,0.2657023486568834,0.3193358647420374,0.2865429098817679,0.38221536367579945,0.3763701574180468,0.45393183269390447,0.4156125959295092,0.17457321817723573,0.10807713663796675,0.042764056945992834,0.23167863957965731,0.37813021194424706,0.3869770797668668,0.3681204977768086,0.29644880169040455,0.2375632718297839,0.15131889571263063,0.2007737653357967,0.29229753380671974,0.38742604907460926,0.24769559025548146,0.03795387018175942,0.008526324251599398,0.11477659257005089,0.22840599475640774,0.2506786827221082,0.2516300372243824,0.2662186318567183,0.052880514180462794,-0.03460435835948457,-0.04178029996832641,-0.04061710323658379,0.24596101509701768,0.1921610266949383,0.20573388687778596,0.23716940532232905,0.04945942050305238,0.0366500515419833,-0.03541707190772659,-0.14271195305713605,0.1831448540628215,0.15965691919310082,0.1760574417542846,0.14195990600476396,0.13920370818790873,0.10857288280307767,0.09929434085613406,0.12162275368910978,0.07488461535231632,-0.005853649301846854,-0.10196716597377806,0.11132774409345304,0.023761083007506265,-0.07763660850942078,-0.016253624447118874,0.16783026835696285,-0.12297140673372398,-0.030181867244792715,-0.07868610153465598,-0.03887471958056113
b'SEEG GLA6',-0.007245731097317,0.044379567362545856,0.32183996990200536,0.7752987140849636,0.0,0.8434542652661138,0.31160718239508695,0.07296405267129238,0.10564239000535779,0.11627700473721454,0.40283268615759654,0.705388602470065,0.8342077376479791,0.7919776655910206,0.2626864531955401,0.15913489020516133,0.15325547436817225,0.31456080398248065,0.4813326164253204,0.4605129761399303,0.5617487637943278,0.5541128896050215,0.22578122446156013,-0.04294793963661481,0.01957287249001603,0.31425672715533987,0.4580546632611996,0.3752869379712561,0.428642606224266,0.3895568922027189,0.24398940032174507,0.05363344433405474,0.13906969618682058,0.3302151055787789,0.4086613011136327,0.2808384647456985,0.1324858844348739,0.08283665701367222,0.13982179666197905,0.15646952497426153,0.20604350698208754,0.27980327719170156,0.2772953058427178,0.11533537430388163,0.06005632312161706,0.03810501922305207,0.01784045704466194,0.18740510102482952,0.15016268364708207,0.17263859403926746,0.16389717212100233,0.08957392301000967,0.1104551100738251,-0.06115134481164321,-0.07443514195722009,0.13516633537188102,0.11219283010855903,0.10518679886833474,0.04144952299926963,0.10557076247989368,-0.0014505285788299301,0.015272344210423946,0.1879219536475369,-0.030004010215513084,-0.10580826012111602,-0.1468804156005283,0.04881279222129357,-0.09588686865002938,-0.16345482708235834,-0.13903602563839304,0.19985393279609887,-0.058558664844584496,0.025088104676621377,-0.14728182785169136,-0.2515885138510436
b'SEEG GLA7',-0.006087314237093215,0.17319660166799875,0.24008558555302487,0.4610851315061347,0.8434542652661138,0.0,0.34944531749078556,0.01798170905704465,0.020323792737087704,0.14191975260255565,0.29741154580473933,0.5065430386125958,0.691874732673198,0.7584215777071954,0.23019736815303235,0.043771295988928226,0.018986255942291256,0.23572562943865127,0.4442656917668683,0.39989986245406567,0.4737024299689122,0.4680298287459385,0.12965262642725212,-0.06853957787526573,0.05178968857089677,0.3724225583584992,0.42750143761868115,0.28492028396033503,0.35295380591350256,0.3706814469073706,0.1982546462887948,0.04531126326498322,0.15101907225378192,0.3511967388065087,0.37058631441707784,0.2744926497642611,0.23374525029212265,0.20477824329604688,0.1927796443483587,0.1290540704650756,0.18447747900882228,0.3005167045838907,0.3075762568085419,0.20916255380407645,0.16164225316149602,0.1596699696917088,0.11180217400572587,0.16387810046148238,0.10412921051947716,0.15072224416295657,0.14891767904061087,0.17665732236782472,0.19866986677620158,-0.02897307916026103,-0.01219875958708498,0.12824942739454528,0.09594281011558818,0.07757125686546897,0.006421714027605095,0.09310710486407586,-0.0550595089091472,-0.09451561835134242,0.15241153281156397,-0.09110573272403626,-0.1414853544472551,-0.15047941032459525,0.02896896365273606,-0.20585978094968085,-0.19042847958424786,-0.2169582805646708,0.21029411822558614,0.0771164667219753,0.10078456676089292,-0.11991184535761945,-0.2990236521788462
b'SEEG GLA8',-0.0026770900529646422,-0.06875870881808191,0.21209357280373095,0.24708952846616486,0.31160718239508695,0.34944531749078556,0.0,0.3837861240490246,0.2751139414114519,0.10390648550535699,0.24625158471179096,0.30508939138038216,0.27140441622980555,0.36592751305571114,0.42249830743480465,0.1678318471271654,0.26239791588271544,0.23349185048129945,0.3203065145478503,0.1657262503471121,0.23770042214581158,0.3060756182426686,0.20780036682237213,0.19886768787213113,0.2380805173136151,0.4081960200294779,0.3576253622253795,0.18054168558894557,0.19212332322434583,0.2308771117710093,0.1815586742928508,0.24795066233969826,0.25094763017818217,0.3331610212084426,0.30287680152173163,0.1681355337152957,0.15682046654794868,0.15144530427532218,0.19378338236606502,0.30467798410827923,0.29095085850967667,0.3104937127292142,0.21597707694936807,0.10661101215586775,0.07973155694202633,0.10050141964221505,0.1736983011876102,0.3884290448986457,0.28536565108613643,0.24973080428267777,0.1382093819863683,0.09846184846461425,0.0716255915839093,-0.04221219659521213,0.09013724547473213,0.3713038250192398,0.3526812329086192,0.24343082183556572,0.10242093619126444,0.09622469140274711,0.022502330904608694,-0.07305047500546764,0.05108735277755901,0.04728214448944608,0.017084576802695237,0.19592302329943562,0.28888483540949583,-0.048083964635334826,0.22094355471326813,0.20347205205380178,0.3143830508141521,0.0024704627592983153,0.3135316139681586,0.05739500220325279,0.09156958355561094
b'SEEG GLB1',0.0024997013604192556,-0.17004368235799405,0.13924295370510334,0.17696846284369414,0.07296405267129238,0.01798170905704465,0.3837861240490246,0.0,0.5742215290474741,0.14012435891757172,0.2254029524465579,0.3105678302451811,0.15257804675185652,0.15286928747692266,0.26075911753596304,0.7588363491033129,0.6544551548242818,0.45706456881621077,0.3595001103709961,0.2494178164155564,0.25735364486143397,0.21364140802544035,0.16513237698860214,0.5020284300725251,0.6138333417673112,0.5745909940359336,0.5016012915990384,0.3718593931015746,0.3046807921021387,0.23103829926149347,0.1815512188608485,0.5362471388326434,0.558206433888038,0.5600017556315466,0.557465864178728,0.36784291339094144,0.21359950087663854,0.1802691203216928,0.2864426879731335,0.5559620097839504,0.5929196620503846,0.5793604219455729,0.4457148218629596,0.16035381080832975,0.10811515827618287,0.15063821094267635,0.2968005519119788,0.6198998417491253,0.5544401390961798,0.5654275818779884,0.4653019608225303,0.13676926264513778,0.147195622044204,0.11387894707806895,0.1838665782433973,0.5329052376849807,0.5455275549945432,0.5366398405699141,0.38810921715841185,0.3165563991060112,0.22473915202673297,0.07670877699876709,-0.03297192899882326,0.2361619286125887,0.3181790833059888,0.2987659618864519,0.5045895304231617,0.21179034549816503,0.33116393264434674,0.4812304811512899,0.2217545731682263,0.028484635994334147,0.3047266229161607,0.23558419976763265,0.2766461533539623
b'SEEG GLB2',-0.0004879427193446585,0.08859958126573975,0.30739598626429515,0.18874814101802276,0.10564239000535779,0.020323792737087704,0.2751139414114519,0.5742215290474741,0.0,0.2960466716813541,0.19068370542693294,0.3170780235668384,0.22023241763771256,0.2088844952360018,0.3101566088437764,0.5597687355098058,0.6333919357072916,0.5099863781426067,0.251677161167083,0.15509790411320812,0.23460420503797208,0.22819083941025536,0.22610272429620082,0.44834605971758035,0.4190940208443461,0.3825696839472336,0.31879489481175743,0.21945899175386754,0.20104518608594518,0.13866196091473948,0.1189787499679113,0.4379952395245106,0.3783689228302574,0.356267982448063,0.31882641378416715,0.12490360057926869,0.015410648383845657,0.023019353924606887,0.14331175374269933,0.3998083684662407,0.4080600852700528,0.3478479344449779,0.20165446397810122,-0.06409388302311494,-0.08783129949432553,-0.02059134529939594,0.16243801300561672,0.422586515503355,0.3951095318076508,0.45792225535754577,0.29630130724619935,-0.11770905715274958,-0.10776366182144581,-0.005262247702919026,0.17935588635738556,0.3778379295766287,0.4087617963328362,0.42794356011820484,0.3055457286394015,0.16661320851004394,0.0792855892289035,0.16610441978282584,0.22958092921199277,0.07748689631726258,0.002861584669382715,0.07169491069292223,0.10527467062748792,-0.036665412880375496,0.10146705285844054,0.2048042820380297,0.22000622708848894,-0.08196975387170803,0.22030279311466036,0.12412704769722875,0.10409143537887704
b'SEEG GLB3',0.0053229013904991015,0.6668729028237185,0.13883426457647643,0.09981259930817454,0.11627700473721454,0.14191975260255565,0.10390648550535699,0.14012435891757172,0.2960466716813541,0.0,0.7012687766292905,0.2771781146796853,0.21211004926033833,0.24512637194432801,0.2579983830017448,0.21435550770835687,0.354534108306185,0.569969734694874,0.5573352098145937,0.12083874131580176,0.11648644915956037,0.20511124095292785,0.28209907115833527,0.3328866820993593,0.3985081624437351,0.3887220083079428,0.2868955293132682,0.13689794331568725,0.12937083999127474,0.18317259474201347,0.1810788344404977,0.4418935132808268,0.4585966040533481,0.41266753940861844,0.3439654596563411,0.31104477936376135,0.22077120646352846,0.19515430700078842,0.30912735498961647,0.4369801170547142,0.4609958997805756,0.4176218498739014,0.37125548786053825,0.18899908357343623,0.15835546491716118,0.16147128324223528,0.1517140110060914,0.3258841947076904,0.2662017258971768,0.28597891953341065,0.23740053222940763,0.13724493662697534,0.17610038004219025,0.08440321230618614,-0.03894030974347397,0.21689937180099683,0.1388052535106709,0.1863520373662799,0.19353075677077716,0.26750491917265906,0.0766946521582284,-0.086569230817954,0.044712227483321196,0.14233413020330007,0.12708138510926992,0.1184239964722205,0.14124883899180946,0.03296597086267808,-0.10810968506523332,0.13235527362380095,0.17593398498348456,0.09923693275899527,0.06485292582837439,0.0921148080462764,-0.002625687519660177
