,Unnamed: 0,b'SEEG GLA3',b'SEEG GLA4',b'SEEG GLA5',b'SEEG GLA6',b'SEEG GLA7',b'SEEG GLA8',b'SEEG GLB1',b'SEEG GLB2',b'SEEG GLB3',b'SEEG GLB4',b'SEEG GLB5',b'SEEG GLB6',b'SEEG GLB7',b'SEEG GLB8',b'SEEG GLC1',b'SEEG GLC2',b'SEEG GLC3',b'SEEG GLC4',b'SEEG GLC5',b'SEEG GLC6',b'SEEG GLC7',b'SEEG GLC8',b'SEEG GLD1',b'SEEG GLD2',b'SEEG GLD3',b'SEEG GLD4',b'SEEG GLD5',b'SEEG GLD6',b'SEEG GLD7',b'SEEG GLD8',b'SEEG GLE1',b'SEEG GLE2',b'SEEG GLE3',b'SEEG GLE4',b'SEEG GLE5',b'SEEG GLE6',b'SEEG GLE7',b'SEEG GLE8',b'SEEG GLF1',b'SEEG GLF2',b'SEEG GLF3',b'SEEG GLF4',b'SEEG GLF5',b'SEEG GLF6',b'SEEG GLF7',b'SEEG GLF8',b'SEEG GLG1',b'SEEG GLG2',b'SEEG GLG3',b'SEEG GLG4',b'SEEG GLG5',b'SEEG GLG6',b'SEEG GLG7',b'SEEG GLG8',b'SEEG GLH1',b'SEEG GLH2',b'SEEG GLH3',b'SEEG GLH4',b'SEEG GLH5',b'SEEG GLH6',b'SEEG GLH7',b'SEEG GLH8',b'SEEG ILa1',b'SEEG ILa2',b'SEEG ILa3',b'SEEG ILa4',b'SEEG ILb1',b'SEEG ILb2',b'SEEG ILb3',b'SEEG ILb4',b'SEEG ILc1',b'SEEG ILc2',b'SEEG ILc3',b'SEEG ILc4'
Unnamed: 0,0.0,0.000892002805684813,-0.00024602607680893084,-0.0018463924343897547,-0.004698084636205636,-0.0001771977191070131,0.0026131101934298104,0.0014331697446431642,-0.0014581762082786591,-0.0046954240671037255,-0.002174487372615294,-0.004245681967603196,-0.004802977163266359,-0.0008193564225807422,0.006656311554809471,0.0065217332076327045,0.0024414225052253797,-0.0028240401957471987,-0.010694992495284028,-0.005857369161534361,-0.0008780732361423127,0.0015184602651099356,0.002427626425194963,-0.0005651757693815979,0.0011622151149001268,-0.006737005398423124,-0.00588972395276649,-0.0031526976956687955,-0.00136150046781236,-0.00019127579623915076,-0.0011219185531422143,-0.0003327064964006732,-0.00039926085063170117,-0.004543914585122772,-0.004231187647415401,-0.0006563627146386508,-0.0002608663175272014,0.0006930436672780457,-0.0034283238018859483,0.0022178269292576465,0.002760017076291852,-0.0012178627495735843,-0.0015902267773711823,-9.893191932997261e-06,-0.0004292106220795069,-0.0001170831202270297,-0.0011127584094794082,0.004358366897544601,0.004104448114283598,0.00473746227074667,0.0006016489720292738,0.0012994530105068427,2.5003041075130416e-05,0.0052296655381830846,0.0005501555664696357,0.004519549575430878,0.004556011495313415,0.0038474725978179312,0.002491148813408856,0.003193387338102696,0.011601481411737979,0.007929937190541135,-0.0004778665450942779,0.008323952063001336,0.009594155697229542,0.012202002934858099,0.012736413376929443,0.010955918889487107,0.007724038381329097,0.00775183430889701,0.010755498111773044,0.012250614377002535,-0.0007115619935360213,0.00039093354993721615,0.0038464571145496065
b'SEEG GLA3',0.000892002805684813,0.0,0.28981889552760726,0.005263057214642827,-0.02721208095796671,-0.11992009125200576,0.08457252374390431,0.08008387334282333,0.27952526725493576,0.5387464928334548,0.23256067585184867,0.2842761116802587,0.32702027402248346,0.25739171806751515,0.21760663678376296,0.05655531538600482,0.13742179481590788,0.10670353286382672,0.09707586487718278,0.46698878445698855,0.4301181978074166,0.2965786580641648,0.2717854785724414,0.09039854147884158,0.07019807452864911,-0.14329686401816322,-0.08817803892571682,0.27565697036348585,0.21771221622920992,0.13565303271066545,0.203683024051391,0.21747812388430396,0.17203309975462158,0.10468458085009062,0.009430243962403401,-0.09886715403663997,-0.22745024587140772,-0.251732251968404,-0.059842110930507474,0.3023043333677097,0.31818610966404814,0.24224336924999607,-0.11875117421266078,-0.24193355781094925,-0.28989792567808637,-0.24925142102467981,0.028455616938951364,0.20422956198428785,0.30239150131027215,0.18270878240455896,-0.16036885603953824,-0.21527304255901206,-0.22288911912944775,0.02140561966825838,0.10645715297197475,0.10634916612840327,0.12626500558344234,0.20168667734926068,-0.10135255469779007,-0.14504606503268905,0.1251555507271226,0.09792825065176275,0.033498274675481644,-7.111334739899525e-05,0.09955183997004158,-0.22568989228689126,-0.054897776327594794,0.11650360513357323,-0.049557335822795395,-0.08507534391085916,0.40995320636119875,-0.09569428929416596,-0.14767561575142374,-0.05409407789903399,-0.12916648291029872
b'SEEG GLA4',-0.00024602607680893084,0.28981889552760726,0.0,0.27637610739937607,0.05915651309373726,-0.023287712424665586,0.14163214279423603,0.07767106779488127,0.036394283294687295,0.07276583708548169,-0.09954493844760766,0.052259795898459624,0.1842179994962562,0.11557316612839597,0.07528759464577847,0.0055779141709969065,0.15686912354412325,0.028880027206005063,-0.0013652164527512578,0.09420909789988607,0.12307425008779016,0.07362257276085714,0.09198515962976353,0.21054429376537462,0.09132768890208968,-0.026598649984618264,-0.08964679245272653,-0.05371733747585844,-0.019584544087830592,-0.037622310433739474,0.002942332366880057,0.2780458962924033,0.23601175744848363,0.034884317013088056,-0.009076370230167236,-0.11443454605912126,-0.14389801269546168,-0.1362809270096731,-0.12456798055460988,0.3081367854845712,0.2601628150980089,0.1475688850602093,-0.018214621780609314,-0.12530076027988002,-0.1363615139354506,-0.130719978259366,0.04861299512577971,0.16671937395882044,0.20640945804241223,0.2255897234685024,-0.05778228612903837,-0.13043330272894763,-0.13988055373137265,0.06393613124769662,0.14300191581755997,0.05108232709450145,0.1041757024276002,0.16556104522001186,-0.02455492730155042,-0.08581159964405422,-0.027400334980367147,0.04085698652772985,0.04841854905833353,0.025236663082873038,0.0630686474158354,0.040843066992424425,-0.08468217914732942,-0.056848657714180184,0.05098040930331262,-0.041610609734698226,0.10889722819752806,0.10998522240345197,-0.0021737789873412985,0.1806838357317535,0.20924851202262718
b'SEEG GLA5',-0.0018463924343897547,0.005263057214642827,0.27637610739937607,0.0,0.5243972556406846,0.20413991042796073,0.19605250304336289,0.12587414158039092,-0.06610821573792404,0.16714072130261448,0.3162200475597818,0.5023684628391695,0.441812531708783,0.3354789481820398,0.16803689581684578,0.23364591095122536,0.1786331250644095,0.2208014839445846,0.24372958777318482,0.19595384828239049,0.2942851109934294,0.30078495310831,0.2806197771213148,0.3004854205929729,0.17829563579246166,0.19866793885258566,0.19556553704264973,0.14580875494956258,0.2239171284012093,0.2495932572561207,0.30297463236818545,0.30683460378951344,0.3383643624498019,0.3051505630599389,0.16466205908925702,-0.045648114598522985,-0.07788427857035601,-0.044716084705360495,0.17812833931056696,0.31867206437064766,0.3295521989093648,0.2511103237789204,-0.10805111253920847,-0.18284931093990014,-0.14379778536058802,-0.08040854755645009,0.11598054176730714,0.349802815193877,0.3303229649914276,0.1522463194517165,-0.1693138827959774,-0.20517889565143108,-0.1730521704655077,-0.10622138179465171,0.13005212815201697,0.328333309856238,0.3835061419145136,0.2429572120046113,-0.07190784712375262,-0.11667640021273003,0.009628411076471936,0.0642170460394239,0.07086537177985235,0.2660147245361108,0.2367003265327338,0.2709193377676932,0.11557953657121381,0.18253008396917997,0.15039125269446052,0.16779184646101372,0.39718374356361064,0.029747151029748006,0.29745696499836777,0.2479765429053288,0.38297541976622584
b'SEEG GLA6',-0.004698084636205636,-0.02721208095796671,0.05915651309373726,0.5243972556406846,0.0,0.6686480435872136,0.3517448646851053,0.19750688068723393,0.021322796250609777,0.13147566106643865,0.16482302238708457,0.5939356122081748,0.751200611940786,0.701759311795277,0.46804744923277003,0.20009356773354747,0.1812979533209258,0.26726988007894026,0.36439317753945105,0.34124127611496535,0.4703246816536559,0.5578086361845481,0.43909854800030146,0.047915046132840915,0.1584091680077928,0.3037199832734216,0.31497033067659447,0.2382311006882647,0.41142745214054527,0.5098422192573427,0.5283002358504982,0.15542617969830913,0.22019896712322165,0.3661758227066865,0.26437259838338456,0.14992682621420983,0.044895224023842814,0.011899001642498006,0.3391907722545376,0.22422562333435614,0.21422996722334472,0.30392435941538903,0.09499025907374213,-0.0026709870090321263,-0.03750902220447948,-0.019845484394892664,0.09992990919588673,0.2418033706860823,0.24941631421511304,0.22581796710306434,0.04845981564304949,0.013898146435451186,0.013451865788243299,0.05547293232717883,0.032122216138969366,0.2695851707809675,0.31411078589118707,0.24266819777213638,0.14045722893679669,0.10686362757991295,0.10552917252712297,-0.0645118217557106,-0.056713081385336615,0.2899947770982287,0.15357544097903028,0.32378095478809016,0.22079731900599114,0.23292301122823378,0.26301310135958084,0.16161636230993762,0.17635807582707844,-0.006352322309005248,0.19774461551040637,0.3644175917186068,0.5027387766635951
b'SEEG GLA7',-0.0001771977191070131,-0.11992009125200576,-0.023287712424665586,0.20413991042796073,0.6686480435872136,0.0,0.4686998688136232,0.05203313970062923,-0.02340096034192929,0.015537557385467575,0.016032089133740452,0.3087762165135769,0.5769462576090408,0.6632953666923741,0.5333596705345081,0.006343676206787663,-0.16041413336076177,-0.03954283168603398,0.16133852586831596,0.21476878061275614,0.34714932427954587,0.4705732315917063,0.3313385742141015,-0.3825936705999847,-0.2068985042576607,0.1420259027267703,0.25470117408266413,0.17588354492959285,0.3407654426959703,0.49063750861106514,0.34402289886434484,-0.27931178811148316,-0.17051579378762324,0.07449170222411163,0.27851607524382277,0.4125662624180458,0.35728952881463083,0.23741958331717147,0.25388478465092423,-0.19808811609914248,-0.15432082954801196,0.054990077062046526,0.40724881987600065,0.4504847171771986,0.376486137861301,0.27103624107427937,0.0809137086527491,-0.2262138308864952,-0.21901489961340204,0.03339055295658598,0.44436054671222586,0.5199257641719274,0.49539931468183557,0.28290401492737227,-0.15568235297023836,-0.19204154805480225,-0.15300071713981347,-0.17841064099347329,0.39754218673486014,0.51342423241126,0.13031986693107622,-0.3660060745082288,-0.3472586116877249,0.16883413186201646,-0.008887857942089386,0.20635808091169724,0.14267279593302576,0.255717750715119,0.21422655274870386,0.16633859275165586,-0.08632702318802364,-0.030194954243940256,0.14180851247041415,0.3205140891962803,0.2083173504967294
b'SEEG GLA8',0.0026131101934298104,0.08457252374390431,0.14163214279423603,0.19605250304336289,0.3517448646851053,0.4686998688136232,0.0,0.044601725641824984,-0.06969199058607096,0.005469497368227826,0.06916878704741712,0.28389861938078753,0.3858032686307067,0.5134916050162186,0.5894459635576786,-0.0243416216621542,-0.1007506329168346,-0.0016572300437825008,0.11997467824236294,0.15409688830883128,0.2786421566389887,0.3765234159980914,0.3447515112355924,-0.3270512153813135,-0.22215809276059317,0.031733543636306635,0.09575503722503452,0.09307097044857661,0.18115829346226237,0.27536989436813586,0.20213105020602584,-0.1707005768130149,-0.11478143493165292,0.016682315473435943,0.06929797636222992,0.2439060411095777,0.20644208655029517,0.14981879365597836,0.14780782240552887,-0.05657472367125564,-0.0325578721177353,0.03685368427084482,0.15229932543439315,0.18848240784827558,0.18785612684880182,0.16737938984233522,0.0318896536916718,0.020441680635445263,-0.03302873482579527,-0.003558877140318799,0.1549738901735474,0.20230265634684608,0.2228695945920313,0.09531057115635963,-0.13158069659147892,0.015499511612355807,-0.017527812714932575,-0.07873871906960342,0.13845492391401562,0.1974233387925627,0.17116091744423356,-0.20186976250590044,-0.24843567347110249,0.06727857480819217,0.008675625663527383,0.031191113146787245,-0.03729983301843867,0.16533096733640804,0.010713017130279369,-0.08574090337277698,-0.07336084040076983,0.01750883511485724,0.10035830378089122,0.2286542678239376,0.11503908617823196
b'SEEG GLB1',0.0014331697446431642,0.08008387334282333,0.07767106779488127,0.12587414158039092,0.19750688068723393,0.05203313970062923,0.044601725641824984,0.0,0.5495322603401381,0.3607363427690767,0.2818597963589562,0.3814044959313913,0.31647042913559564,0.3235901831181908,0.3028245846323669,0.7216097106309483,0.580510593015803,0.2821851983828668,0.32181634462882047,0.25648253072099164,0.3823220675957361,0.3917700006028962,0.3547548962013671,0.30727880780908773,0.26098265954731575,0.2304814665124541,0.278280929287158,0.24724035860719348,0.3483647962388761,0.3427201177303905,0.37253776536657723,0.26544679873367,0.2544441946007824,0.31603273486302846,0.27431802368729363,0.14433451493950492,-0.009171269870548959,-0.11021422732366551,0.08694564666057018,0.34243500985060016,0.34261283153473915,0.3680321312001382,0.13799428843353104,-0.013757056086427452,-0.1027634069335498,-0.14225600937377653,-0.011673193455411545,0.3916969474034864,0.36321110809650886,0.36129049144444414,0.07924396417627687,0.012311018203513623,-0.016851390945848296,-0.053943128283620995,0.0602230992902286,0.38696372876260904,0.28917975405968505,0.33954687060055916,0.1370700343812982,0.06765772552954373,0.036353385456962366,0.03725177610757058,0.013388789798882238,0.06037585259094829,0.2626486095272089,0.3469080942242102,0.10633198541744272,-0.13091166164457674,0.2360596883058345,0.2636250828811385,0.30797444362684034,-0.09830360200990824,0.14598353164237707,0.01110343435463725,0.26415848633910083
b'SEEG GLB2',-0.0014581762082786591,0.27952526725493576,0.036394283294687295,-0.06610821573792404,0.021322796250609777,-0.02340096034192929,-0.06969199058607096,0.5495322603401381,0.0,0.6587973495410375,0.4655993596443115,0.2735633240989241,0.19555454220476182,0.19843315527450658,0.1351536713597091,0.4289930679718379,0.5948324532764997,0.4507480243361657,0.36166704425326895,0.23649186351878168,0.29880621027898707,0.2353187563631818,0.16066774461030542,0.22853545227060104,0.32999584105393687,0.12916932284299815,0.1494539656374076,0.22175497095271557,0.22554343699601948,0.1549499141617,0.1578675829591609,0.1303787157176032,0.12329316824803051,0.21008097950247398,0.14909112071504005,0.05036838414853945,-0.15178589883528495,-0.20780484781561934,-0.04553665341261789,0.1621135419510348,0.17522909925169972,0.12036535531187907,-0.07467715482900636,-0.15135620231649155,-0.22191823205015124,-0.2314660497655161,-0.050322451604230975,0.163873129295178,0.2048250309513065,0.13126431555107687,-0.11256377636245628,-0.13200424710437797,-0.1597800623181096,-0.013477804698819738,0.09618334400884583,0.2126472504428948,0.0901362047853393,0.21402173542988479,-0.007238060945992165,-0.08954577955883335,-0.030658300130729083,0.07602682065417764,0.0009136589827157274,-0.14736123896839765,0.26455330844844294,0.02091043927089915,-0.04046554018537973,-0.1574753638833164,0.2086482475577083,0.031092517109361395,0.18022723232016266,-0.11067220909523572,-0.24960644620757336,-0.10729037205508293,0.015089538997510636
b'SEEG GLB3',-0.0046954240671037255,0.5387464928334548,0.07276583708548169,0.16714072130261448,0.13147566106643865,0.015537557385467575,0.005469497368227826,0.3607363427690767,0.6587973495410375,0.0,0.7765585257960306,0.5442982567090301,0.438104885752816,0.39878853511423035,0.24805193814522258,0.34912060480861923,0.5247305366081223,0.6693724906201755,0.6537949850006517,0.49889392198544563,0.5457413862499456,0.4603980904748621,0.3938304860286378,0.24754317928193256,0.3217548517539067,0.40481479363468587,0.4106785671440923,0.4840980140956012,0.4168060113199971,0.30204687684758796,0.3698303180146236,0.18927275767087756,0.26347873539564065,0.43959395495721754,0.38573919181131006,0.0934007769377488,-0.259884169880197,-0.35440611082403956,-0.022551714408880867,0.23611418773023976,0.2703708824294477,0.2736297822131569,-0.060463016517975365,-0.244464296548989,-0.34216001137234636,-0.376172258100948,-0.06130322414129483,0.1925249641889606,0.26506317350937486,0.18664655295491756,-0.1359511270592459,-0.18034441573758497,-0.2180730124843251,-0.11002798797390517,0.0838586457186526,0.19631164683106014,0.15932001926623096,0.29028427084263,0.042204504684994586,-0.021721154370708335,0.042547881202416836,0.06815637513692333,-0.023346128782016307,-0.10502858790912042,0.3076408144668216,-0.0338682479870023,-0.13134013548427256,-0.018467876820495294,0.159547478493671,0.09361962336830333,0.28574521222153243,-0.24348620942758897,-0.07891238449351926,-0.174199237244567,-0.05588222210574313
